Number, Time (Divide & Conquer), Time (Naive), Min, Max
1300, 0.000000, 0.000000, 28, 32757
1310, 0.000000, 0.000000, 28, 32757
1320, 0.000000, 0.000000, 28, 32757
1330, 0.000000, 0.000000, 28, 32757
1340, 0.000000, 0.000000, 28, 32757
1350, 0.000000, 0.000000, 28, 32757
1360, 0.000000, 0.000000, 28, 32757
1370, 0.000000, 0.000000, 28, 32757
1380, 0.000000, 0.000000, 28, 32757
1390, 0.000000, 0.000000, 28, 32757
1400, 0.000000, 0.000000, 28, 32757
1410, 0.000000, 0.000000, 28, 32757
1420, 0.000000, 0.000000, 28, 32757
1430, 0.000000, 0.000000, 28, 32757
1440, 0.000000, 0.000000, 28, 32757
1450, 0.000000, 0.000000, 28, 32757
1460, 0.000000, 0.000000, 28, 32757
1470, 0.000000, 0.000000, 28, 32757
1480, 0.000000, 0.000000, 28, 32757
1490, 0.000000, 0.000000, 28, 32757
1500, 0.000000, 0.000000, 28, 32757
1510, 0.000000, 0.000000, 28, 32757
1520, 0.000000, 0.000000, 28, 32757
1530, 0.000000, 0.000000, 28, 32757
1540, 0.000000, 0.000000, 28, 32757
1550, 0.000000, 0.000000, 28, 32757
1560, 0.000000, 0.000000, 28, 32757
1570, 0.000000, 0.000000, 28, 32757
1580, 0.000000, 0.000000, 28, 32757
1590, 0.000000, 0.000000, 28, 32757
1600, 0.000000, 0.000000, 28, 32757
1610, 0.000000, 0.000000, 28, 32757
1620, 0.000000, 0.000000, 28, 32757
1630, 0.000000, 0.000000, 28, 32757
1640, 0.001000, 0.000000, 28, 32757
1650, 0.000000, 0.000000, 28, 32757
1660, 0.000000, 0.000000, 28, 32757
1670, 0.000000, 0.000000, 28, 32757
1680, 0.000000, 0.000000, 28, 32757
1690, 0.000000, 0.000000, 28, 32757
1700, 0.000000, 0.000000, 28, 32757
1710, 0.000000, 0.000000, 28, 32757
1720, 0.000000, 0.000000, 28, 32757
1730, 0.000000, 0.000000, 28, 32757
1740, 0.000000, 0.000000, 28, 32757
1750, 0.000000, 0.000000, 28, 32757
1760, 0.000000, 0.000000, 28, 32757
1770, 0.000000, 0.000000, 28, 32757
1780, 0.000000, 0.000000, 28, 32757
1790, 0.000000, 0.000000, 28, 32757
1800, 0.000000, 0.000000, 28, 32757
1810, 0.000000, 0.000000, 28, 32757
1820, 0.000000, 0.000000, 28, 32757
1830, 0.000000, 0.000000, 28, 32757
1840, 0.000000, 0.000000, 28, 32757
1850, 0.000000, 0.000000, 28, 32757
1860, 0.000000, 0.000000, 28, 32757
1870, 0.000000, 0.000000, 28, 32757
1880, 0.000000, 0.000000, 28, 32757
1890, 0.000000, 0.000000, 21, 32757
1900, 0.000000, 0.000000, 21, 32757
1910, 0.000000, 0.000000, 21, 32757
1920, 0.000000, 0.000000, 21, 32757
1930, 0.000000, 0.000000, 21, 32757
1940, 0.000000, 0.000000, 21, 32757
1950, 0.000000, 0.000000, 21, 32757
1960, 0.000000, 0.000000, 21, 32757
1970, 0.000000, 0.000000, 21, 32757
1980, 0.000000, 0.000000, 21, 32757
1990, 0.000000, 0.000000, 21, 32757
2000, 0.000000, 0.000000, 21, 32757
2010, 0.001000, 0.000000, 21, 32757
2020, 0.000000, 0.000000, 21, 32757
2030, 0.000000, 0.000000, 21, 32757
2040, 0.000000, 0.000000, 21, 32757
2050, 0.000000, 0.000000, 21, 32757
2060, 0.000000, 0.000000, 21, 32757
2070, 0.001000, 0.000000, 21, 32757
2080, 0.000000, 0.000000, 21, 32757
2090, 0.000000, 0.000000, 21, 32757
2100, 0.000000, 0.000000, 21, 32757
2110, 0.000000, 0.000000, 21, 32757
2120, 0.000000, 0.000000, 21, 32757
2130, 0.000000, 0.000000, 21, 32757
2140, 0.000000, 0.000000, 21, 32757
2150, 0.000000, 0.000000, 21, 32757
2160, 0.000000, 0.000000, 21, 32757
2170, 0.000000, 0.000000, 21, 32757
2180, 0.000000, 0.001000, 21, 32757
2190, 0.000000, 0.000000, 21, 32757
2200, 0.000000, 0.000000, 21, 32757
2210, 0.000000, 0.000000, 21, 32757
2220, 0.001000, 0.000000, 21, 32757
2230, 0.000000, 0.000000, 21, 32757
2240, 0.000000, 0.000000, 21, 32757
2250, 0.000000, 0.000000, 21, 32757
2260, 0.001000, 0.000000, 21, 32757
2270, 0.000000, 0.000000, 21, 32757
2280, 0.000000, 0.000000, 21, 32757
2290, 0.000000, 0.000000, 21, 32757
2300, 0.000000, 0.000000, 21, 32757
2310, 0.000000, 0.000000, 21, 32757
2320, 0.002000, 0.000000, 21, 32757
2330, 0.000000, 0.000000, 21, 32757
2340, 0.000000, 0.000000, 21, 32757
2350, 0.000000, 0.000000, 21, 32757
2360, 0.000000, 0.000000, 21, 32757
2370, 0.000000, 0.000000, 21, 32765
2380, 0.000000, 0.000000, 21, 32765
2390, 0.000000, 0.000000, 21, 32765
2400, 0.000000, 0.000000, 21, 32765
2410, 0.000000, 0.000000, 21, 32765
2420, 0.000000, 0.000000, 21, 32765
2430, 0.000000, 0.000000, 21, 32765
2440, 0.000000, 0.000000, 21, 32765
2450, 0.000000, 0.000000, 21, 32765
2460, 0.000000, 0.000000, 21, 32765
2470, 0.000000, 0.000000, 21, 32765
2480, 0.000000, 0.000000, 21, 32765
2490, 0.000000, 0.000000, 21, 32765
2500, 0.000000, 0.000000, 21, 32765
2510, 0.000000, 0.000000, 21, 32765
2520, 0.000000, 0.000000, 21, 32765
2530, 0.000000, 0.000000, 21, 32765
2540, 0.000000, 0.000000, 21, 32765
2550, 0.000000, 0.000000, 21, 32765
2560, 0.000000, 0.000000, 21, 32765
2570, 0.000000, 0.000000, 21, 32765
2580, 0.000000, 0.000000, 21, 32765
2590, 0.000000, 0.000000, 21, 32765
2600, 0.000000, 0.000000, 21, 32765
2610, 0.000000, 0.000000, 21, 32765
2620, 0.001000, 0.000000, 21, 32765
2630, 0.000000, 0.000000, 21, 32765
2640, 0.000000, 0.000000, 21, 32765
2650, 0.000000, 0.000000, 21, 32765
